date,symbol,entry_price,shares_bought,target_allocation,capital_allocated,pnl,return_pct,n_signals_day,exit_945,exit_1100,blended_exit,shares_first,shares_second,exit_price,prev_day_vwap_close_used,vol_ratio,mcap_cr,pre_entry_move_pct,post_entry_move_pct,entry_day_open_915,entry_day_close_1515,entry_day_high_price,entry_day_high_time,entry_day_low_price,entry_day_low_time,exit_day_high_price,exit_day_high_time,exit_day_low_price,exit_day_low_time,entry_day_range_h_minus_o_pct,entry_day_range_c_minus_o_pct,exit_day_range_h_minus_o_pct,exit_day_range_c_minus_o_pct,entry_day_cumlow_10,entry_day_cumlow_11,entry_day_cumlow_12,entry_day_cumlow_13,entry_day_cumlow_14,entry_day_cumlow_15,entry_day_cumhigh_10,entry_day_cumhigh_11,entry_day_cumhigh_12,entry_day_cumhigh_13,entry_day_cumhigh_14,entry_day_cumhigh_15,exit_day_cumlow_10,exit_day_cumlow_11,exit_day_cumlow_12,exit_day_cumlow_13,exit_day_cumlow_14,exit_day_cumlow_15,exit_day_cumhigh_10,exit_day_cumhigh_11,exit_day_cumhigh_12,exit_day_cumhigh_13,exit_day_cumhigh_14,exit_day_cumhigh_15
2022-02-15,EXCELINDUS,1286.95,77,100000.0,99095.15,1062.95,1.0878,2,1316.0,1285.9,1300.95,38,39,1300.95,1161.35,48.07,1723.6,5.9654,-1.7056,1214.5,1265.0,1375.0,09:45,1184.85,09:15,1340.0,14:00,1250.2,09:15,13.2153,4.1581,5.1063,2.2002,1184.85,1184.85,1184.85,1184.85,1184.85,1184.85,1375.0,1375.0,1375.0,1375.0,1375.0,1375.0,1250.2,1250.2,1250.2,1250.2,1250.2,1250.2,1334.85,1334.85,1334.85,1334.85,1340.0,1340.0
2022-02-15,VISHNU,236.25,423,100000.0,99933.75,4991.4,4.9947,2,248.05,248.05,248.05,211,212,248.05,225.0,7.8,1910.7,0.0,0.0,236.25,236.25,236.25,09:15,233.3,09:30,248.05,09:15,248.05,09:15,0.0,0.0,0.0,0.0,233.3,233.3,233.3,233.3,233.3,233.3,236.25,236.25,236.25,236.25,236.25,236.25,248.05,248.05,248.05,248.05,248.05,248.05,248.05,248.05,248.05,248.05,248.05,248.05
2022-02-16,TIIL,871.6,114,100000.0,99362.4,2656.2,2.6732,1,900.3,889.5,894.9,57,57,894.9,797.3333,7.22,2411.9,8.2733,2.1111,805.0,890.0,921.35,13:15,805.0,09:15,915.0,09:15,876.25,15:15,14.4534,10.559,0.1313,-3.9122,805.0,805.0,805.0,805.0,805.0,805.0,879.2,879.2,879.2,879.2,921.35,921.35,887.1,885.0,885.0,885.0,885.0,880.65,915.0,915.0,915.0,915.0,915.0,915.0
2022-02-18,BBOX,173.0,578,100000.0,99994.0,-3410.2,-3.4104,1,168.2,166.0,167.1,289,289,167.1,155.6412,17.92,2474.1,8.125,0.9249,160.0,174.6,183.0,13:15,154.5,09:15,179.0,09:15,161.0,15:15,14.375,9.125,1.7045,-6.9886,154.5,154.5,154.5,154.5,154.5,154.5,160.0,160.9,161.0,161.0,183.0,183.0,167.3,166.0,166.0,166.0,164.4,163.2,179.0,179.0,179.0,179.0,179.0,179.0
2022-02-25,ADVENZYMES,309.0,323,100000.0,99807.0,2342.35,2.3463,1,315.65,316.85,316.25,161,162,316.25,262.9495,9.62,3153.9,17.1564,0.0,263.75,309.0,313.8,15:15,262.4,09:15,324.95,12:30,303.3,09:15,18.9763,17.1564,5.1448,3.2195,262.4,262.4,262.4,262.4,262.4,262.4,275.1,275.1,275.1,275.1,309.95,312.85,303.3,303.3,303.3,303.3,303.3,303.3,319.8,319.8,319.8,324.95,324.95,324.95
2022-02-28,ALEMBICLTD,89.8,1113,100000.0,99947.4,-1336.15,-1.3363,2,89.15,88.05,88.6,556,557,88.6,83.7478,9.72,1860.4,4.7841,-1.3363,85.7,88.6,91.35,10:00,84.6,09:15,89.85,09:15,86.25,15:15,6.5928,3.3839,0.3911,-3.352,84.6,84.6,84.6,84.6,84.6,84.6,91.35,91.35,91.35,91.35,91.35,91.35,88.6,87.4,87.4,87.4,87.2,87.05,89.85,89.85,89.85,89.85,89.85,89.85
2022-02-28,KSB,222.2,450,100000.0,99990.0,-2632.5,-2.6328,2,216.8,215.9,216.35,225,225,216.35,199.1543,13.11,4592.7,11.0445,-2.3402,200.1,217.0,225.5,11:00,200.1,09:15,225.15,13:30,214.45,09:45,12.6937,8.4458,3.7558,1.3825,200.1,200.1,200.1,200.1,200.1,200.1,216.6,225.5,225.5,225.5,225.5,225.5,214.45,214.45,214.45,214.45,214.45,214.45,219.35,219.35,219.35,223.8,225.15,225.15
2022-03-02,INFOBEAN,153.75,650,100000.0,99937.5,4485.0,4.4878,1,161.25,160.05,160.65,325,325,160.65,137.715,7.06,1755.8,12.844,-2.439,136.25,150.0,163.5,14:00,135.25,09:15,166.5,14:00,152.75,09:15,20.0,10.0917,7.4194,2.9032,135.25,135.25,135.25,135.25,135.25,135.25,143.75,145.0,149.45,149.45,163.5,163.5,152.75,152.75,152.75,152.75,152.75,152.75,163.5,163.5,163.5,163.5,166.5,166.5
2022-03-03,EXCELINDUS,1521.95,65,100000.0,98926.75,1783.15,1.82,1,1567.0,1532.3,1549.65,32,33,1549.65,1320.5864,7.28,1723.6,14.8642,0.8575,1325.0,1535.0,1561.0,15:15,1325.0,09:15,1594.0,09:15,1483.3,14:30,17.8113,15.8491,4.183,-0.4346,1325.0,1325.0,1325.0,1325.0,1325.0,1325.0,1354.6,1464.8,1520.0,1520.0,1520.0,1533.95,1496.35,1496.35,1496.35,1496.35,1496.35,1483.3,1594.0,1594.0,1594.0,1594.0,1594.0,1594.0
2022-03-09,IOLCP,75.55,1323,100000.0,99952.65,12139.8,12.1443,2,83.45,86.0,84.725,661,662,84.725,62.788,17.41,2076.4,18.0469,0.0,64.0,75.55,75.55,14:30,64.0,09:15,87.35,12:15,78.35,09:15,18.0469,18.0469,9.1875,2.25,64.0,64.0,64.0,64.0,64.0,64.0,72.25,72.5,72.5,72.5,72.5,75.55,78.35,78.35,78.35,78.35,78.35,78.35,85.25,86.65,86.65,87.35,87.35,87.35
