date,symbol,entry_price,shares_bought,target_allocation,capital_allocated,pnl,return_pct,n_signals_day,exit_price,prev_day_vwap_close_used,vol_ratio,mcap_cr,pre_entry_move_pct,post_entry_move_pct,entry_day_open_915,entry_day_close_1515,entry_day_high_price,entry_day_high_time,entry_day_low_price,entry_day_low_time,exit_day_high_price,exit_day_high_time,exit_day_low_price,exit_day_low_time,entry_day_range_h_minus_o_pct,entry_day_range_c_minus_o_pct,exit_day_range_h_minus_o_pct,exit_day_range_c_minus_o_pct,entry_day_cumlow_10,entry_day_cumlow_11,entry_day_cumlow_12,entry_day_cumlow_13,entry_day_cumlow_14,entry_day_cumlow_15,entry_day_cumhigh_10,entry_day_cumhigh_11,entry_day_cumhigh_12,entry_day_cumhigh_13,entry_day_cumhigh_14,entry_day_cumhigh_15,exit_day_cumlow_10,exit_day_cumlow_11,exit_day_cumlow_12,exit_day_cumlow_13,exit_day_cumlow_14,exit_day_cumlow_15,exit_day_cumhigh_10,exit_day_cumhigh_11,exit_day_cumhigh_12,exit_day_cumhigh_13,exit_day_cumhigh_14,exit_day_cumhigh_15
2022-02-15,EXCELINDUS,1286.95,77,100000.0,99095.15,2533.3,2.5564,2,1319.85,1161.35,48.07,1723.6,5.9654,-1.7056,1214.5,1265.0,1375.0,09:45,1184.85,09:15,1340.0,14:00,1250.2,09:15,13.2153,4.1581,5.1063,2.2002,1184.85,1184.85,1184.85,1184.85,1184.85,1184.85,1375.0,1375.0,1375.0,1375.0,1375.0,1375.0,1250.2,1250.2,1250.2,1250.2,1250.2,1250.2,1334.85,1334.85,1334.85,1334.85,1340.0,1340.0
2022-02-15,VISHNU,236.25,423,100000.0,99933.75,4991.4,4.9947,2,248.05,225.0,7.8,1910.7,0.0,0.0,236.25,236.25,236.25,09:15,233.3,09:30,248.05,09:15,248.05,09:15,0.0,0.0,0.0,0.0,233.3,233.3,233.3,233.3,233.3,233.3,236.25,236.25,236.25,236.25,236.25,236.25,248.05,248.05,248.05,248.05,248.05,248.05,248.05,248.05,248.05,248.05,248.05,248.05
2022-02-16,TIIL,871.6,114,100000.0,99362.4,1527.6,1.5374,1,885.0,797.3333,7.22,2411.9,8.2733,2.1111,805.0,890.0,921.35,13:15,805.0,09:15,915.0,09:15,876.25,15:15,14.4534,10.559,0.1313,-3.9122,805.0,805.0,805.0,805.0,805.0,805.0,879.2,879.2,879.2,879.2,921.35,921.35,887.1,885.0,885.0,885.0,885.0,880.65,915.0,915.0,915.0,915.0,915.0,915.0
2022-02-18,BBOX,173.0,578,100000.0,99994.0,-4970.8,-4.9711,1,164.4,155.6412,17.92,2474.1,8.125,0.9249,160.0,174.6,183.0,13:15,154.5,09:15,179.0,09:15,161.0,15:15,14.375,9.125,1.7045,-6.9886,154.5,154.5,154.5,154.5,154.5,154.5,160.0,160.9,161.0,161.0,183.0,183.0,167.3,166.0,166.0,166.0,164.4,163.2,179.0,179.0,179.0,179.0,179.0,179.0
2022-02-25,ADVENZYMES,309.0,323,100000.0,99807.0,3407.65,3.4142,1,319.55,262.9495,9.62,3153.9,17.1564,0.0,263.75,309.0,313.8,15:15,262.4,09:15,324.95,12:30,303.3,09:15,18.9763,17.1564,5.1448,3.2195,262.4,262.4,262.4,262.4,262.4,262.4,275.1,275.1,275.1,275.1,309.95,312.85,303.3,303.3,303.3,303.3,303.3,303.3,319.8,319.8,319.8,324.95,324.95,324.95
2022-02-28,ALEMBICLTD,89.8,1113,100000.0,99947.4,-2504.25,-2.5056,2,87.55,83.7478,9.72,1860.4,4.7841,-1.3363,85.7,88.6,91.35,10:00,84.6,09:15,89.85,09:15,86.25,15:15,6.5928,3.3839,0.3911,-3.352,84.6,84.6,84.6,84.6,84.6,84.6,91.35,91.35,91.35,91.35,91.35,91.35,88.6,87.4,87.4,87.4,87.2,87.05,89.85,89.85,89.85,89.85,89.85,89.85
2022-02-28,KSB,222.2,450,100000.0,99990.0,-1372.5,-1.3726,2,219.15,199.1543,13.11,4592.7,11.0445,-2.3402,200.1,217.0,225.5,11:00,200.1,09:15,225.15,13:30,214.45,09:45,12.6937,8.4458,3.7558,1.3825,200.1,200.1,200.1,200.1,200.1,200.1,216.6,225.5,225.5,225.5,225.5,225.5,214.45,214.45,214.45,214.45,214.45,214.45,219.35,219.35,219.35,223.8,225.15,225.15
2022-03-02,INFOBEAN,153.75,650,100000.0,99937.5,4550.0,4.5528,1,160.75,137.715,7.06,1755.8,12.844,-2.439,136.25,150.0,163.5,14:00,135.25,09:15,166.5,14:00,152.75,09:15,20.0,10.0917,7.4194,2.9032,135.25,135.25,135.25,135.25,135.25,135.25,143.75,145.0,149.45,149.45,163.5,163.5,152.75,152.75,152.75,152.75,152.75,152.75,163.5,163.5,163.5,163.5,166.5,166.5
2022-03-03,EXCELINDUS,1521.95,65,100000.0,98926.75,-1833.0,-1.8529,1,1493.75,1320.5864,7.28,1723.6,14.8642,0.8575,1325.0,1535.0,1561.0,15:15,1325.0,09:15,1594.0,09:15,1483.3,14:30,17.8113,15.8491,4.183,-0.4346,1325.0,1325.0,1325.0,1325.0,1325.0,1325.0,1354.6,1464.8,1520.0,1520.0,1520.0,1533.95,1496.35,1496.35,1496.35,1496.35,1496.35,1483.3,1594.0,1594.0,1594.0,1594.0,1594.0,1594.0
2022-03-09,IOLCP,75.55,1323,100000.0,99952.65,12833.1,12.8392,2,85.25,62.788,17.41,2076.4,18.0469,0.0,64.0,75.55,75.55,14:30,64.0,09:15,87.35,12:15,78.35,09:15,18.0469,18.0469,9.1875,2.25,64.0,64.0,64.0,64.0,64.0,64.0,72.25,72.5,72.5,72.5,72.5,75.55,78.35,78.35,78.35,78.35,78.35,78.35,85.25,86.65,86.65,87.35,87.35,87.35
2022-03-09,ORISSAMINE,2750.0,36,100000.0,99000.0,-990.0,-1.0,2,2722.5,2431.2887,7.44,1709.7,12.4767,0.5455,2444.95,2765.0,2875.0,13:00,2444.95,09:15,2820.3,09:15,2702.8,13:45,17.5893,13.0902,1.6306,-2.2342,2444.95,2444.95,2444.95,2444.95,2444.95,2444.95,2494.9,2494.9,2805.0,2875.0,2875.0,2875.0,2751.0,2735.0,2735.0,2729.3,2702.8,2702.8,2820.3,2820.3,2820.3,2820.3,2820.3,2820.3
2022-03-10,IOLCP,84.4,1184,100000.0,99929.6,2723.2,2.7251,1,86.7,75.55,21.86,2076.4,5.5,-3.0806,80.0,81.8,87.35,12:15,78.35,09:15,87.2,14:30,79.6,10:15,9.1875,2.25,7.1253,5.0983,78.35,78.35,78.35,78.35,78.35,78.35,85.25,86.65,86.65,87.35,87.35,87.35,80.25,79.6,79.6,79.6,79.6,79.6,82.55,82.55,82.55,82.55,82.55,87.2
2022-03-11,ESABINDIA,3161.95,31,100000.0,98020.45,7041.65,7.1839,2,3389.1,2922.9342,7.1,4650.9,7.5859,-0.9156,2939.0,3133.0,3225.8,13:15,2892.35,09:15,3460.05,13:30,3100.65,09:15,9.7584,6.6009,10.4389,7.437,2892.35,2892.35,2892.35,2892.35,2892.35,2892.35,2943.0,2974.0,3011.6,3125.0,3225.8,3225.8,3100.65,3100.65,3100.65,3100.65,3100.65,3100.65,3160.0,3169.9,3287.0,3287.0,3460.05,3460.05
2022-03-11,KIRLOSIND,1496.85,66,100000.0,98792.1,5748.6,5.8189,2,1583.95,1380.1896,7.5,1516.3,9.6593,-0.658,1365.0,1487.0,1598.0,10:15,1365.0,09:15,1699.0,09:15,1551.55,15:15,17.0696,8.9377,6.5204,-1.8182,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1559.95,1598.0,1598.0,1598.0,1598.0,1598.0,1563.55,1563.55,1563.55,1563.55,1563.55,1563.55,1699.0,1699.0,1699.0,1699.0,1699.0,1699.0
2022-03-14,DHAMPURSUG,538.3,185,100000.0,99585.5,-4236.5,-4.2541,4,515.4,450.4913,9.38,3549.7,18.9876,0.3901,452.4,540.4,541.3,14:30,450.3,09:30,567.0,09:15,507.1,13:15,19.6508,19.4518,3.6753,-4.0044,450.3,450.3,450.3,450.3,450.3,450.3,509.5,519.8,519.8,519.8,530.95,541.3,535.85,520.1,513.1,508.4,507.1,507.1,567.0,567.0,567.0,567.0,567.0,567.0
2022-03-14,KIRLOSIND,1580.0,63,100000.0,99540.0,-4410.0,-4.4304,4,1510.0,1489.4168,7.56,1516.3,-0.9404,-0.8861,1595.0,1566.0,1699.0,09:15,1551.55,15:15,1598.6,09:15,1499.25,14:15,6.5204,-1.8182,0.6485,-4.615,1563.55,1563.55,1563.55,1563.55,1563.55,1563.55,1699.0,1699.0,1699.0,1699.0,1699.0,1699.0,1508.95,1501.0,1501.0,1501.0,1501.0,1499.25,1598.6,1598.6,1598.6,1598.6,1598.6,1598.6
2022-03-14,TIIL,1054.2,94,100000.0,99094.8,-5282.8,-5.3311,4,998.0,877.7896,14.69,2411.9,18.4494,0.0,890.0,1054.2,1054.2,12:30,890.0,09:15,1108.95,09:15,983.6,14:00,18.4494,18.4494,1.4593,-9.8811,890.0,890.0,890.0,890.0,890.0,890.0,957.0,999.0,1042.0,1054.2,1054.2,1054.2,1018.0,1018.0,1018.0,1007.45,983.6,983.6,1108.95,1108.95,1108.95,1108.95,1108.95,1108.95
2022-03-14,USHAMART,105.65,946,100000.0,99944.9,-1608.2,-1.6091,4,103.95,90.2815,7.68,4098.8,15.5908,1.7511,91.4,107.5,108.2,15:15,89.7,09:15,109.4,09:15,102.05,14:15,18.3807,17.6149,0.9225,-4.6125,89.7,89.7,89.7,89.7,89.7,89.7,91.4,91.4,98.65,104.1,106.45,108.0,104.4,104.4,103.5,103.5,103.0,102.05,109.4,109.4,109.4,109.4,109.4,109.4
2022-03-15,HERANBA,677.0,147,100000.0,99519.0,-3153.15,-3.1684,2,655.55,603.9988,9.25,2420.0,11.0018,-1.8612,609.9,664.4,708.55,11:45,605.0,09:15,677.3,09:15,652.1,14:30,16.1748,8.9359,0.7437,-2.4245,605.0,605.0,605.0,605.0,605.0,605.0,624.55,654.55,708.55,708.55,708.55,708.55,654.0,654.0,654.0,654.0,654.0,652.1,677.3,677.3,677.3,677.3,677.3,677.3
2022-03-15,WSTCSTPAPR,292.5,341,100000.0,99742.5,4739.9,4.7521,2,306.4,275.177,8.24,2207.7,6.0167,-0.5128,275.9,291.0,304.5,10:15,275.9,09:15,315.65,13:30,293.55,09:15,10.3661,5.473,7.0,4.4068,275.9,275.9,275.9,275.9,275.9,275.9,304.35,304.5,304.5,304.5,304.5,304.5,293.55,293.55,293.55,293.55,293.55,293.55,304.4,310.1,310.1,310.1,315.65,315.65
2022-03-16,SAGCEM,228.15,438,100000.0,99929.7,2343.3,2.3449,2,233.5,207.0855,7.59,2894.6,7.4153,-0.2849,212.4,227.5,247.55,10:15,208.1,09:15,234.8,10:45,227.15,09:15,16.549,7.1092,1.2287,-0.0216,208.1,208.1,208.1,208.1,208.1,208.1,244.6,247.55,247.55,247.55,247.55,247.55,227.15,227.15,227.15,227.15,227.15,227.15,233.6,234.8,234.8,234.8,234.8,234.8
2022-03-16,WSTCSTPAPR,306.55,326,100000.0,99935.3,309.7,0.3099,2,307.5,290.207,7.73,2207.7,3.9153,0.473,295.0,308.0,315.65,13:30,293.55,09:15,315.9,09:15,300.2,13:30,7.0,4.4068,2.0019,-1.227,293.55,293.55,293.55,293.55,293.55,293.55,304.4,310.1,310.1,310.1,315.65,315.65,307.2,303.05,303.05,302.0,300.2,300.2,315.9,315.9,315.9,315.9,315.9,315.9
