date,symbol,entry_price,shares_bought,target_allocation,capital_allocated,pnl,return_pct,n_signals_day,exit_price,prev_day_vwap_close_used,vol_ratio,mcap_cr,pre_entry_move_pct,post_entry_move_pct,entry_day_open_915,entry_day_close_1515,entry_day_high_price,entry_day_high_time,entry_day_low_price,entry_day_low_time,exit_day_high_price,exit_day_high_time,exit_day_low_price,exit_day_low_time,entry_day_range_h_minus_o_pct,entry_day_range_c_minus_o_pct,exit_day_range_h_minus_o_pct,exit_day_range_c_minus_o_pct,entry_day_cumlow_10,entry_day_cumlow_11,entry_day_cumlow_12,entry_day_cumlow_13,entry_day_cumlow_14,entry_day_cumlow_15,entry_day_cumhigh_10,entry_day_cumhigh_11,entry_day_cumhigh_12,entry_day_cumhigh_13,entry_day_cumhigh_14,entry_day_cumhigh_15,exit_day_cumlow_10,exit_day_cumlow_11,exit_day_cumlow_12,exit_day_cumlow_13,exit_day_cumlow_14,exit_day_cumlow_15,exit_day_cumhigh_10,exit_day_cumhigh_11,exit_day_cumhigh_12,exit_day_cumhigh_13,exit_day_cumhigh_14,exit_day_cumhigh_15
2022-02-15,EXCELINDUS,1244.1,80,100000.0,99528.0,5192.0,5.2166,2,1309.0,1161.35,48.07,1723.6,2.4372,1.6799,1214.5,1265.0,1375.0,09:45,1184.85,09:15,1340.0,14:00,1250.2,09:15,13.2153,4.1581,5.1063,2.2002,1184.85,1184.85,1184.85,1184.85,1184.85,1184.85,1375.0,1375.0,1375.0,1375.0,1375.0,1375.0,1250.2,1250.2,1250.2,1250.2,1250.2,1250.2,1334.85,1334.85,1334.85,1334.85,1340.0,1340.0
2022-02-15,VISHNU,236.25,423,100000.0,99933.75,4991.4,4.9947,2,248.05,225.0,7.8,1910.7,0.0,0.0,236.25,236.25,236.25,09:15,233.3,09:30,248.05,09:15,248.05,09:15,0.0,0.0,0.0,0.0,233.3,233.3,233.3,233.3,233.3,233.3,236.25,236.25,236.25,236.25,236.25,236.25,248.05,248.05,248.05,248.05,248.05,248.05,248.05,248.05,248.05,248.05,248.05,248.05
2022-02-16,TIIL,875.5,114,100000.0,99807.0,963.3,0.9652,1,883.95,797.3333,7.22,2411.9,8.7578,1.6562,805.0,890.0,921.35,13:15,805.0,09:15,915.0,09:15,876.25,15:15,14.4534,10.559,0.1313,-3.9122,805.0,805.0,805.0,805.0,805.0,805.0,879.2,879.2,879.2,879.2,921.35,921.35,887.1,885.0,885.0,885.0,885.0,880.65,915.0,915.0,915.0,915.0,915.0,915.0
2022-02-18,BBOX,174.35,573,100000.0,99902.55,-6388.95,-6.3952,1,163.2,155.6412,17.92,2474.1,8.9687,0.1434,160.0,174.6,183.0,13:15,154.5,09:15,179.0,09:15,161.0,15:15,14.375,9.125,1.7045,-6.9886,154.5,154.5,154.5,154.5,154.5,154.5,160.0,160.9,161.0,161.0,183.0,183.0,167.3,166.0,166.0,166.0,164.4,163.2,179.0,179.0,179.0,179.0,179.0,179.0
2022-02-25,ADVENZYMES,310.4,322,100000.0,99948.8,2559.9,2.5612,1,318.35,262.9495,9.62,3153.9,17.6872,-0.451,263.75,309.0,313.8,15:15,262.4,09:15,324.95,12:30,303.3,09:15,18.9763,17.1564,5.1448,3.2195,262.4,262.4,262.4,262.4,262.4,262.4,275.1,275.1,275.1,275.1,309.95,312.85,303.3,303.3,303.3,303.3,303.3,303.3,319.8,319.8,319.8,324.95,324.95,324.95
2022-02-28,ALEMBICLTD,89.7,1114,100000.0,99925.8,-2840.7,-2.8428,2,87.15,83.7478,9.72,1860.4,4.6674,-1.2263,85.7,88.6,91.35,10:00,84.6,09:15,89.85,09:15,86.25,15:15,6.5928,3.3839,0.3911,-3.352,84.6,84.6,84.6,84.6,84.6,84.6,91.35,91.35,91.35,91.35,91.35,91.35,88.6,87.4,87.4,87.4,87.2,87.05,89.85,89.85,89.85,89.85,89.85,89.85
2022-02-28,KSB,219.4,455,100000.0,99827.0,-91.0,-0.0912,2,219.2,199.1543,13.11,4592.7,9.6452,-1.0939,200.1,217.0,225.5,11:00,200.1,09:15,225.15,13:30,214.45,09:45,12.6937,8.4458,3.7558,1.3825,200.1,200.1,200.1,200.1,200.1,200.1,216.6,225.5,225.5,225.5,225.5,225.5,214.45,214.45,214.45,214.45,214.45,214.45,219.35,219.35,219.35,223.8,225.15,225.15
2022-03-02,INFOBEAN,148.45,673,100000.0,99906.85,8109.65,8.1172,1,160.5,137.715,7.06,1755.8,8.9541,1.0441,136.25,150.0,163.5,14:00,135.25,09:15,166.5,14:00,152.75,09:15,20.0,10.0917,7.4194,2.9032,135.25,135.25,135.25,135.25,135.25,135.25,143.75,145.0,149.45,149.45,163.5,163.5,152.75,152.75,152.75,152.75,152.75,152.75,163.5,163.5,163.5,163.5,166.5,166.5
2022-03-03,EXCELINDUS,1505.5,66,100000.0,99363.0,1415.7,1.4248,1,1526.95,1320.5864,7.28,1723.6,13.6226,1.9595,1325.0,1535.0,1561.0,15:15,1325.0,09:15,1594.0,09:15,1483.3,14:30,17.8113,15.8491,4.183,-0.4346,1325.0,1325.0,1325.0,1325.0,1325.0,1325.0,1354.6,1464.8,1520.0,1520.0,1520.0,1533.95,1496.35,1496.35,1496.35,1496.35,1496.35,1483.3,1594.0,1594.0,1594.0,1594.0,1594.0,1594.0
2022-03-09,IOLCP,75.55,1323,100000.0,99952.65,11708.55,11.7141,2,84.4,62.788,17.41,2076.4,18.0469,0.0,64.0,75.55,75.55,14:30,64.0,09:15,87.35,12:15,78.35,09:15,18.0469,18.0469,9.1875,2.25,64.0,64.0,64.0,64.0,64.0,64.0,72.25,72.5,72.5,72.5,72.5,75.55,78.35,78.35,78.35,78.35,78.35,78.35,85.25,86.65,86.65,87.35,87.35,87.35
2022-03-09,ORISSAMINE,2785.55,35,100000.0,97494.25,-1926.75,-1.9763,2,2730.5,2431.2887,7.44,1709.7,13.9308,-0.7377,2444.95,2765.0,2875.0,13:00,2444.95,09:15,2820.3,09:15,2702.8,13:45,17.5893,13.0902,1.6306,-2.2342,2444.95,2444.95,2444.95,2444.95,2444.95,2444.95,2494.9,2494.9,2805.0,2875.0,2875.0,2875.0,2751.0,2735.0,2735.0,2729.3,2702.8,2702.8,2820.3,2820.3,2820.3,2820.3,2820.3,2820.3
2022-03-10,IOLCP,82.9,1206,100000.0,99977.4,2834.1,2.8347,1,85.25,75.55,21.86,2076.4,3.625,-1.3269,80.0,81.8,87.35,12:15,78.35,09:15,87.2,14:30,79.6,10:15,9.1875,2.25,7.1253,5.0983,78.35,78.35,78.35,78.35,78.35,78.35,85.25,86.65,86.65,87.35,87.35,87.35,80.25,79.6,79.6,79.6,79.6,79.6,82.55,82.55,82.55,82.55,82.55,87.2
2022-03-11,ESABINDIA,3157.85,31,100000.0,97893.35,6824.65,6.9715,2,3378.0,2922.9342,7.1,4650.9,7.4464,-0.7869,2939.0,3133.0,3225.8,13:15,2892.35,09:15,3460.05,13:30,3100.65,09:15,9.7584,6.6009,10.4389,7.437,2892.35,2892.35,2892.35,2892.35,2892.35,2892.35,2943.0,2974.0,3011.6,3125.0,3225.8,3225.8,3100.65,3100.65,3100.65,3100.65,3100.65,3100.65,3160.0,3169.9,3287.0,3287.0,3460.05,3460.05
2022-03-11,KIRLOSIND,1486.75,67,100000.0,99612.25,6247.75,6.2721,2,1580.0,1380.1896,7.5,1516.3,8.9194,0.0168,1365.0,1487.0,1598.0,10:15,1365.0,09:15,1699.0,09:15,1551.55,15:15,17.0696,8.9377,6.5204,-1.8182,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1559.95,1598.0,1598.0,1598.0,1598.0,1598.0,1563.55,1563.55,1563.55,1563.55,1563.55,1563.55,1699.0,1699.0,1699.0,1699.0,1699.0,1699.0
2022-03-14,DHAMPURSUG,539.0,185,100000.0,99715.0,-1119.25,-1.1224,4,532.95,450.4913,9.38,3549.7,19.1424,0.2597,452.4,540.4,541.3,14:30,450.3,09:30,567.0,09:15,507.1,13:15,19.6508,19.4518,3.6753,-4.0044,450.3,450.3,450.3,450.3,450.3,450.3,509.5,519.8,519.8,519.8,530.95,541.3,535.85,520.1,513.1,508.4,507.1,507.1,567.0,567.0,567.0,567.0,567.0,567.0
