symbol,date,entry_price_315pm,market_cap_value,volume_ratio,return_pct_vs_prev_close,fade_at_entry_pct
DYCL,2026-07-14,389.15,1944.86,16.669412,6.041741,4.8766
HGS,2026-07-14,455.9,2398.01,24.960302,8.868047,4.5436
LANDMARK,2026-07-14,490.95,2320.28,39.850756,13.395942,1.1576
TCPLPACK,2026-07-14,3203.0,3065.73,6.486555,5.223368,1.4462
