RELIANCE,INE002A01018
HDFCBANK,INE040A01034
BHARTIARTL,INE397D01024
TCS,INE467B01029
ICICIBANK,INE090A01021
SBIN,INE062A01020
INFY,INE009A01021
BAJFINANCE,INE296A01032
HINDUNILVR,INE030A01027
LICI,INE0J1Y01017
LT,INE018A01030
ITC,INE154A01025
MARUTI,INE585B01010
M&M,INE101A01026
HCLTECH,INE860A01027
KOTAKBANK,INE237A01036
SUNPHARMA,INE044A01036
AXISBANK,INE238A01034
ULTRACEMCO,INE481G01011
BAJAJFINSV,INE918I01026
TITAN,INE280A01028
NTPC,INE733E01010
HAL,INE066F01020
ADANIPORTS,INE742F01042
ONGC,INE213A01029
ETERNAL,INE758T01015
BEL,INE263A01024
ADANIENT,INE423A01024
DMART,INE192R01011
JSWSTEEL,INE019A01038
ADANIPOWER,INE814H01029
WIPRO,INE075A01022
POWERGRID,INE752E01010
ASIANPAINT,INE021A01026
BAJAJ-AUTO,INE917I01010
COALINDIA,INE522F01014
NESTLEIND,INE239A01024
INDIGO,INE646L01027
IOC,INE242A01010
TATASTEEL,INE081A01020
TMPV,INE155A01022
HINDZINC,INE267A01025
JIOFIN,INE758E01017
HYUNDAI,INE0V6F01027
GRASIM,INE047A01021
SBILIFE,INE123W01016
VEDL,INE205A01025
DLF,INE271C01023
EICHERMOT,INE066A01021
TRENT,INE849A01020
HINDALCO,INE038A01020
DIVISLAB,INE361B01024
HDFCLIFE,INE795G01014
IRFC,INE053F01010
ADANIGREEN,INE364U01010
VBL,INE200M01039
TVSMOTOR,INE494B01023
PIDILITIND,INE318A01026
BPCL,INE029A01011
TECHM,INE669C01036
BAJAJHLDNG,INE118A01012
BRITANNIA,INE216A01030
AMBUJACEM,INE079A01024
TATACAP,INE976I01016
BANKBARODA,INE028A01039
CHOLAFIN,INE121A01024
SHRIRAMFIN,INE721A01047
TMCV,INE1TAE01010
PNB,INE160A01022
ICICIAMC,INE346A01027
PFC,INE134E01011
SOLARINDS,INE343H01029
MUTHOOTFIN,INE414G01012
TATAPOWER,INE245A01021
CIPLA,INE059A01026
TORNTPHARM,INE685A01028
GODREJCP,INE102D01028
LODHA,INE670K01029
HDFCAMC,INE127D01025
GAIL,INE129A01019
CANBK,INE476A01022
MAXHEALTH,INE027H01010
ENRIN,INE1NPP01017
SIEMENS,INE003A01024
MAZDOCK,INE249Z01020
BOSCHLTD,INE323A01026
ABB,INE117A01022
MOTHERSON,INE775A01035
CUMMINSIND,INE298A01020
TATACONSUM,INE192A01025
LGEINDIA,INE324D01010
POLYCAB,INE455K01017
CGPOWER,INE067A01029
UNIONBANK,INE692A01016
ADANIENSOL,INE931S01010
APOLLOHOSP,INE437A01024
INDHOTEL,INE053A01029
HEROMOTOCO,INE158A01026
DRREDDY,INE089A01031
SHREECEM,INE070A01015
JINDALSTEL,INE749A01030
IDBI,INE008A01015
SWIGGY,INE00H001014
BSE,INE118H01025
MANKIND,INE634S01028
INDIANB,INE562A01011
INDUSTOWER,INE121J01017
UNITDSPR,INE854D01024
GMRAIRPORT,INE776C01039
RECLTD,INE020B01018
ZYDUSLIFE,INE010B01027
ICICIGI,INE765G01017
GROWW,INE0HOQ01053
DIXON,INE935N01020
IDEA,INE669E01016
HAVELLS,INE176B01034
MARICO,INE196A01026
HINDPETRO,INE094A01015
WAAREEENER,INE377N01017
